id,question_text,display_text,key,options,is_featured,question type,status,max score,pass score,name in colloquial language,options in language
130,Class visited,,ivrss-class-visited,"{1, 2, 3, 4, 5, 6, 7, 8}",False,3,AC,,,,
291,Gender,,Gender,"{Male,Female}",False,4,AC,,,,
271,Number concept 1,,Number Concept,"{Yes,No}",True,2,AC,,Yes,,
272,Number concept 2,,Number Concept,"{Yes,No}",True,2,AC,,Yes,,
273,Number concept 3,,Number Concept,"{Yes,No}",True,2,AC,,Yes,,
276,Addition 1,,Addition,"{Yes,No}",True,2,AC,,Yes,,
278,Subtraction 1,,Subtraction,"{Yes,No}",True,2,AC,,Yes,,
280,Multiplication 1,,Multiplication,"{Yes,No}",True,2,AC,,Yes,,
282,Division 1,,Division,"{Yes,No}",True,2,AC,,Yes,,
,Measurement: Money,,Word Problem,"{Yes,No}",True,2,AC,,Yes,,
288,Shapes and spatial understanding 1,,Shapes,"{Yes,No}",True,2,AC,,Yes,,
299,Measurement: Time 1,,Measurement,"{Yes,No}",True,2,AC,,Yes,,
274,Number concept 4,,Number Concept,"{Yes,No}",True,2,AC,,Yes,,
275,Number concept 5,,Number Concept,"{Yes,No}",True,2,AC,,Yes,,
277,Addition 2,,Addition,"{Yes,No}",True,2,AC,,Yes,,
279,Subtraction 2,,Subtraction,"{Yes,No}",True,2,AC,,Yes,,
281,Multiplication 2,,Multiplication,"{Yes,No}",True,2,AC,,Yes,,
283,Division 2,,Division,"{Yes,No}",True,2,AC,,Yes,,
,Measurement: Length/Weight/Volume,,Word Problem,"{Yes,No}",True,2,AC,,Yes,,
289,Shapes and spatial understanding 2,,Shapes,"{Yes,No}",True,2,AC,,Yes,,
290,Shapes and spatial understanding 3,,Shapes,"{Yes,No}",True,2,AC,,Yes,,
294,Fractions 1,,Fractions,"{Yes,No}",True,2,AC,,Yes,,
